keyword,pc,mobile,total,comp_label,competition,ad_depth
무선키보드,10100,12100,22200,중간,0.6,8
냉감쿨매트,2190,20000,22190,높음,0.9,8
해외주식,1570,20600,22170,높음,0.9,10
소득금액증명원발급,16300,5860,22160,중간,0.6,1
전세보증보험,5850,16300,22150,높음,0.9,7
현관방충망,2970,19100,22070,중간,0.6,8
전기밥솥,4110,17900,22010,중간,0.6,8
경차,4590,17400,21990,높음,0.9,10
축농증,3150,18800,21950,높음,0.9,10
대형선풍기,6550,15400,21950,높음,0.9,8
브라이텍스,4400,17500,21900,높음,0.9,9
실손보험,3890,18000,21890,높음,0.9,10
간병비보험,2230,19600,21830,높음,0.9,10
자동차담보대출,3670,18100,21770,높음,0.9,10
퇴직금계산,6070,15700,21770,높음,0.9,10
인터넷비교사이트,8040,13700,21740,높음,0.9,10
금현물,7920,13800,21720,중간,0.6,6
보험,7210,14500,21710,높음,0.9,10
책상의자,8400,13300,21700,중간,0.6,8
기면증,2910,18700,21610,높음,0.9,10
백일해주사,3800,17800,21600,높음,0.9,7
중소기업확인서,18900,2670,21570,높음,0.9,10
원리금균등상환계산기,7460,14100,21560,중간,0.6,2
폐렴,3760,17800,21560,높음,0.9,10
휘슬러압력밥솥,1460,20100,21560,높음,0.9,10
빅데이터분석기사,8740,12800,21540,높음,0.9,10
산재보험,9890,11600,21490,높음,0.9,10
무직자대출,2660,18700,21360,높음,0.9,10
